"Model","Accuracy","Sensitivity","Specificity","Precision","AUC","F1"
"Random Forest",0.961434501399749,0.938523220848647,0.978959025470653,0.971524094996541,0.993697848576286,0.954738571347646
"XGBoost",0.961627570228787,0.938411849871923,0.979384956129142,0.972081218274112,0.994467009424421,0.954949849832833
