"Model","Mean_Accuracy","SD_Accuracy","Mean_ROC","SD_ROC"
"Random Forest (CV)",NA,NA,0.993938317035968,0.000317311241946776
"XGBoost (CV)",NA,NA,0.994911634735677,0.000346280474024573
